ID,Area,Year,Income Type,Source,Period Type,State Name,Income,Income Rank,Population
391393,Stillwater,2018,Per capita income,BEA,Annual,Montana,"$51,773",5,"9,534"
391395,Roosevelt,2018,Per capita income,BEA,Annual,Montana,"$34,794",52,"11,059"
391397,Rosebud,2018,Per capita income,BEA,Annual,Montana,"$42,250",37,"9,063"
391399,Sanders,2018,Per capita income,BEA,Annual,Montana,"$34,896",51,"11,844"
391401,Prairie,2018,Per capita income,BEA,Annual,Montana,"$44,739",26,"1,087"
391403,Ravalli,2018,Per capita income,BEA,Annual,Montana,"$44,602",29,"43,172"
391405,Richland,2018,Per capita income,BEA,Annual,Montana,"$61,217",1,"10,913"
391407,Pondera,2018,Per capita income,BEA,Annual,Montana,"$42,363",36,"5,972"
391409,Powder River,2018,Per capita income,BEA,Annual,Montana,"$32,479",54,"1,716"
391411,Powell,2018,Per capita income,BEA,Annual,Montana,"$39,771",41,"6,968"
391413,Park,2018,Per capita income,BEA,Annual,Montana,"$48,114",15,"16,736"
391415,Petroleum,2018,Per capita income,BEA,Annual,Montana,"$35,772",49,513
391417,Phillips,2018,Per capita income,BEA,Annual,Montana,"$39,172",44,"4,074"
391420,Missoula,2018,Per capita income,BEA,Annual,Montana,"$49,492",9,"118,791"
391423,Musselshell,2018,Per capita income,BEA,Annual,Montana,"$43,133",35,"4,651"
391426,Madison,2018,Per capita income,BEA,Annual,Montana,"$49,115",11,"8,768"
391428,Meagher,2018,Per capita income,BEA,Annual,Montana,"$46,128",22,"1,866"
391430,Mineral,2018,Per capita income,BEA,Annual,Montana,"$39,957",40,"4,316"
391432,Liberty,2018,Per capita income,BEA,Annual,Montana,"$40,956",39,"2,430"
391434,Lincoln,2018,Per capita income,BEA,Annual,Montana,"$35,432",50,"19,794"
391436,McCone,2018,Per capita income,BEA,Annual,Montana,"$42,209",38,"1,675"
391437,Judith Basin,2018,Per capita income,BEA,Annual,Montana,"$50,492",7,"1,952"
391439,Lake,2018,Per capita income,BEA,Annual,Montana,"$39,365",42,"30,250"
391441,Lewis and Clark,2018,Per capita income,BEA,Annual,Montana,"$48,562",13,"68,700"
391443,Granite,2018,Per capita income,BEA,Annual,Montana,"$43,791",34,"3,378"
391445,Hill,2018,Per capita income,BEA,Annual,Montana,"$45,017",25,"16,347"
391447,Jefferson,2018,Per capita income,BEA,Annual,Montana,"$47,960",17,"12,097"
391449,Garfield,2018,Per capita income,BEA,Annual,Montana,"$36,291",47,"1,268"
391451,Glacier,2018,Per capita income,BEA,Annual,Montana,"$34,458",53,"13,747"
391453,Golden Valley,2018,Per capita income,BEA,Annual,Montana,"$49,137",10,826
391455,Flathead,2018,Per capita income,BEA,Annual,Montana,"$47,331",20,"102,106"
391458,Gallatin,2018,Per capita income,BEA,Annual,Montana,"$54,734",2,"111,876"
391461,Deer Lodge,2018,Per capita income,BEA,Annual,Montana,"$39,063",45,"9,131"
391463,Fallon,2018,Per capita income,BEA,Annual,Montana,"$49,509",8,"2,920"
391465,Fergus,2018,Per capita income,BEA,Annual,Montana,"$43,808",33,"11,113"
391467,Custer,2018,Per capita income,BEA,Annual,Montana,"$44,689",27,"11,586"
391469,Daniels,2018,Per capita income,BEA,Annual,Montana,"$48,086",16,"1,747"
391471,Dawson,2018,Per capita income,BEA,Annual,Montana,"$45,295",24,"8,680"
391474,Cascade,2018,Per capita income,BEA,Annual,Montana,"$47,518",18,"81,643"
391477,Chouteau,2018,Per capita income,BEA,Annual,Montana,"$37,340",46,"5,745"
391480,Broadwater,2018,Per capita income,BEA,Annual,Montana,"$39,306",43,"6,085"
391482,Carbon,2018,Per capita income,BEA,Annual,Montana,"$47,442",19,"10,714"
391484,Carter,2018,Per capita income,BEA,Annual,Montana,"$44,358",32,"1,238"
